A0,A1,B0,B1,Irrelevant,Correlated
-1.093750000000000000e-01,-1.093750000000000000e-01,-1.093750000000000000e-01,-1.093750000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
-1.093750000000000000e-01,-1.093750000000000000e-01,-1.093750000000000000e-01,-1.093750000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
-1.093750000000000000e-01,-1.093750000000000000e-01,-1.093750000000000000e-01,-1.093750000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
-1.093750000000000000e-01,-1.093750000000000000e-01,-1.093750000000000000e-01,-1.093750000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
-9.895833333333332871e-02,-9.895833333333332871e-02,-3.489583333333333148e-01,1.093750000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
-9.895833333333332871e-02,-9.895833333333332871e-02,-3.489583333333333148e-01,1.093750000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
-9.895833333333332871e-02,-9.895833333333332871e-02,-3.489583333333333148e-01,1.093750000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
-9.895833333333332871e-02,-9.895833333333332871e-02,-3.489583333333333148e-01,1.093750000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
-9.895833333333332871e-02,-9.895833333333332871e-02,1.093750000000000000e-01,-3.489583333333333148e-01,0.000000000000000000e+00,0.000000000000000000e+00
-9.895833333333332871e-02,-9.895833333333332871e-02,1.093750000000000000e-01,-3.489583333333333148e-01,0.000000000000000000e+00,0.000000000000000000e+00
-9.895833333333332871e-02,-9.895833333333332871e-02,1.093750000000000000e-01,-3.489583333333333148e-01,0.000000000000000000e+00,0.000000000000000000e+00
-9.895833333333332871e-02,-9.895833333333332871e-02,1.093750000000000000e-01,-3.489583333333333148e-01,0.000000000000000000e+00,0.000000000000000000e+00
-6.770833333333332871e-02,-6.770833333333332871e-02,3.489583333333333148e-01,3.489583333333333148e-01,0.000000000000000000e+00,0.000000000000000000e+00
-6.770833333333332871e-02,-6.770833333333332871e-02,3.489583333333333148e-01,3.489583333333333148e-01,0.000000000000000000e+00,0.000000000000000000e+00
-6.770833333333332871e-02,-6.770833333333332871e-02,3.489583333333333148e-01,3.489583333333333148e-01,0.000000000000000000e+00,0.000000000000000000e+00
-6.770833333333332871e-02,-6.770833333333332871e-02,3.489583333333333148e-01,3.489583333333333148e-01,0.000000000000000000e+00,0.000000000000000000e+00
-3.489583333333333148e-01,1.093750000000000000e-01,-9.895833333333332871e-02,-9.895833333333332871e-02,0.000000000000000000e+00,0.000000000000000000e+00
-3.489583333333333148e-01,1.093750000000000000e-01,-9.895833333333332871e-02,-9.895833333333332871e-02,0.000000000000000000e+00,0.000000000000000000e+00
-3.489583333333333148e-01,1.093750000000000000e-01,-9.895833333333332871e-02,-9.895833333333332871e-02,0.000000000000000000e+00,0.000000000000000000e+00
-3.489583333333333148e-01,1.093750000000000000e-01,-9.895833333333332871e-02,-9.895833333333332871e-02,0.000000000000000000e+00,0.000000000000000000e+00
-3.177083333333333148e-01,9.895833333333332871e-02,-3.177083333333333148e-01,9.895833333333332871e-02,0.000000000000000000e+00,0.000000000000000000e+00
-3.177083333333333148e-01,9.895833333333332871e-02,-3.177083333333333148e-01,9.895833333333332871e-02,0.000000000000000000e+00,0.000000000000000000e+00
-3.177083333333333148e-01,9.895833333333332871e-02,-3.177083333333333148e-01,9.895833333333332871e-02,0.000000000000000000e+00,0.000000000000000000e+00
-3.177083333333333148e-01,9.895833333333332871e-02,-3.177083333333333148e-01,9.895833333333332871e-02,0.000000000000000000e+00,0.000000000000000000e+00
-3.177083333333333148e-01,9.895833333333332871e-02,9.895833333333332871e-02,-3.177083333333333148e-01,0.000000000000000000e+00,0.000000000000000000e+00
-3.177083333333333148e-01,9.895833333333332871e-02,9.895833333333332871e-02,-3.177083333333333148e-01,0.000000000000000000e+00,0.000000000000000000e+00
-3.177083333333333148e-01,9.895833333333332871e-02,9.895833333333332871e-02,-3.177083333333333148e-01,0.000000000000000000e+00,0.000000000000000000e+00
-3.177083333333333148e-01,9.895833333333332871e-02,9.895833333333332871e-02,-3.177083333333333148e-01,0.000000000000000000e+00,0.000000000000000000e+00
-1.406250000000000000e-01,6.770833333333332871e-02,3.177083333333333148e-01,3.177083333333333148e-01,0.000000000000000000e+00,0.000000000000000000e+00
-1.406250000000000000e-01,6.770833333333332871e-02,3.177083333333333148e-01,3.177083333333333148e-01,0.000000000000000000e+00,0.000000000000000000e+00
-1.406250000000000000e-01,6.770833333333332871e-02,3.177083333333333148e-01,3.177083333333333148e-01,0.000000000000000000e+00,0.000000000000000000e+00
-1.406250000000000000e-01,6.770833333333332871e-02,3.177083333333333148e-01,3.177083333333333148e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.093750000000000000e-01,-3.489583333333333148e-01,-9.895833333333332871e-02,-9.895833333333332871e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.093750000000000000e-01,-3.489583333333333148e-01,-9.895833333333332871e-02,-9.895833333333332871e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.093750000000000000e-01,-3.489583333333333148e-01,-9.895833333333332871e-02,-9.895833333333332871e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.093750000000000000e-01,-3.489583333333333148e-01,-9.895833333333332871e-02,-9.895833333333332871e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.895833333333332871e-02,-3.177083333333333148e-01,-3.177083333333333148e-01,9.895833333333332871e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.895833333333332871e-02,-3.177083333333333148e-01,-3.177083333333333148e-01,9.895833333333332871e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.895833333333332871e-02,-3.177083333333333148e-01,-3.177083333333333148e-01,9.895833333333332871e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.895833333333332871e-02,-3.177083333333333148e-01,-3.177083333333333148e-01,9.895833333333332871e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.895833333333332871e-02,-3.177083333333333148e-01,9.895833333333332871e-02,-3.177083333333333148e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.895833333333332871e-02,-3.177083333333333148e-01,9.895833333333332871e-02,-3.177083333333333148e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.895833333333332871e-02,-3.177083333333333148e-01,9.895833333333332871e-02,-3.177083333333333148e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.895833333333332871e-02,-3.177083333333333148e-01,9.895833333333332871e-02,-3.177083333333333148e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.770833333333332871e-02,-1.406250000000000000e-01,3.177083333333333148e-01,3.177083333333333148e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.770833333333332871e-02,-1.406250000000000000e-01,3.177083333333333148e-01,3.177083333333333148e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.770833333333332871e-02,-1.406250000000000000e-01,3.177083333333333148e-01,3.177083333333333148e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.770833333333332871e-02,-1.406250000000000000e-01,3.177083333333333148e-01,3.177083333333333148e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.489583333333333148e-01,3.489583333333333148e-01,-6.770833333333332871e-02,-6.770833333333332871e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.489583333333333148e-01,3.489583333333333148e-01,-6.770833333333332871e-02,-6.770833333333332871e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.489583333333333148e-01,3.489583333333333148e-01,-6.770833333333332871e-02,-6.770833333333332871e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.489583333333333148e-01,3.489583333333333148e-01,-6.770833333333332871e-02,-6.770833333333332871e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.177083333333333148e-01,3.177083333333333148e-01,-1.406250000000000000e-01,6.770833333333332871e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.177083333333333148e-01,3.177083333333333148e-01,-1.406250000000000000e-01,6.770833333333332871e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.177083333333333148e-01,3.177083333333333148e-01,-1.406250000000000000e-01,6.770833333333332871e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.177083333333333148e-01,3.177083333333333148e-01,-1.406250000000000000e-01,6.770833333333332871e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.177083333333333148e-01,3.177083333333333148e-01,6.770833333333332871e-02,-1.406250000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.177083333333333148e-01,3.177083333333333148e-01,6.770833333333332871e-02,-1.406250000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.177083333333333148e-01,3.177083333333333148e-01,6.770833333333332871e-02,-1.406250000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.177083333333333148e-01,3.177083333333333148e-01,6.770833333333332871e-02,-1.406250000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.406250000000000000e-01,1.406250000000000000e-01,1.406250000000000000e-01,1.406250000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.406250000000000000e-01,1.406250000000000000e-01,1.406250000000000000e-01,1.406250000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.406250000000000000e-01,1.406250000000000000e-01,1.406250000000000000e-01,1.406250000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.406250000000000000e-01,1.406250000000000000e-01,1.406250000000000000e-01,1.406250000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
